Week.ending,iliiso.tot
4/26/15,0.00421539
5/3/15,0.003275477
5/10/15,0.002651319
5/17/15,0.002893322
5/24/15,0.004540955
5/31/15,0.004888289
6/7/15,0.006889901
6/14/15,0.01155536
6/21/15,0.013661207
6/28/15,0.012593441
7/5/15,0.012100706
7/12/15,0.0081
7/19/15,0.00707646
7/26/15,0.003627318
8/2/15,0.002097821
8/9/15,0.002372671
8/16/15,0.001597156
8/23/15,0.001644556
8/30/15,0.0021307
9/6/15,0.000962175
9/13/15,0.000991195
9/20/15,0.000891183
9/27/15,0.000464619
10/4/15,0.0006652
10/11/15,0.00039483
10/18/15,0.00034558
10/25/15,0.000337439
11/1/15,0.000281141
11/8/15,0.000397467
11/15/15,0.000548822
11/22/15,0.000238556
11/29/15,0.000564542
12/6/15,0.000377063
12/13/15,0.000334656
12/20/15,0.000678713
12/27/15,0.000851825
1/3/16,0.001434507
1/10/16,0.001755899
1/17/16,0.002965052
1/24/16,0.004838415
1/31/16,0.003469211
2/7/16,0.008386582
2/14/16,0.012170268
2/21/16,0.011384722
2/28/16,0.017406231
3/6/16,0.02074411
3/13/16,0.015168996
3/20/16,0.01273539
3/27/16,0.012161123
4/3/16,0.012597535
4/10/16,0.009800818
4/17/16,0.00950086
4/24/16,0.008994898
5/1/16,0.007585168
5/8/16,0.004678018
5/15/16,0.003954643
5/22/16,0.003383951
5/29/16,0.002302353
6/5/16,0.001403048
6/12/16,0.001016283
6/19/16,0.00098084
6/26/16,0.001277424
7/3/16,0.002420423
7/10/16,0.001294461
7/17/16,0.001420117
7/24/16,0.002075577
7/31/16,0.001941896
8/7/16,0.001079671
8/14/16,0.001822627
8/21/16,0.001605132
8/28/16,0.003227397
9/4/16,0.003656033
9/11/16,0.003586842
9/18/16,0.006865475
9/25/16,0.007521358
10/2/16,0.006980091
10/9/16,0.006364148
10/16/16,0.005061923
10/23/16,0.004228599
10/30/16,0.004189655
11/6/16,0.004195161
11/13/16,0.003809435
11/20/16,0.003879376
11/27/16,0.003013857
12/4/16,0.002917818
12/11/16,0.002722669
12/18/16,0.002436688
12/25/16,0.001351928
1/1/17,0.002159521
1/8/17,0.002512258
1/15/17,0.002697424
1/22/17,0.003199947
1/29/17,0.003501617
2/5/17,0.002392168
2/12/17,0.004241813
2/19/17,0.005082442
2/26/17,0.004744388
3/5/17,0.005034243
3/12/17,0.004927333
3/19/17,0.00425258
3/26/17,0.003917363
4/2/17,0.00248139
4/9/17,0.003148727
4/16/17,0.00244847
4/23/17,0.002527489
4/30/17,0.004941971
5/7/17,0.005708032
5/14/17,0.00602497
5/21/17,0.007475996
5/28/17,0.007115684
6/4/17,0.008695331
6/11/17,0.006670848
6/18/17,0.008302326
6/25/17,0.011779982
7/2/17,0.021045894
7/9/17,0.02129397
7/16/17,0.026586036
7/23/17,0.029603743
7/30/17,0.025608128
8/6/17,0.016125235
8/13/17,0.010139047
8/20/17,0.006784662
8/27/17,0.004641718
9/3/17,0.001798201
9/10/17,0.001496979
9/17/17,0.001697158
9/24/17,0.001239001
10/1/17,0.00082668
10/8/17,0.000608708
10/15/17,0.00072642
10/22/17,0.000825431
10/29/17,0.00088632
11/5/17,0.000888132
11/12/17,0.000866769
11/19/17,0.000700132
11/26/17,0.000954241
12/3/17,0.000961551
12/10/17,0.001162442
12/17/17,0.001449927
12/24/17,0.001969767
12/31/17,0.002979106
1/7/18,0.005785081
1/14/18,0.00932952
1/21/18,0.016027035
1/28/18,0.01971288
2/4/18,0.017833491
2/11/18,0.016753365
2/18/18,0.009655615
2/25/18,0.014746047
3/4/18,0.009829811
3/11/18,0.006684235
3/18/18,0.005807692
3/25/18,0.003977608
4/1/18,0.002034453
4/8/18,0.000803807
4/15/18,0.000852831
4/22/18,0.000826462
4/29/18,0.001202415
5/6/18,0.001017213
5/13/18,0.000734554
5/20/18,0.000509309
5/27/18,0.000533507
6/3/18,0.00043761
6/10/18,0.000567832
6/17/18,0.000410873
6/24/18,0.000461625
7/1/18,0.000297917
7/8/18,0.000741173
7/15/18,0.001150728
7/22/18,0.000885087
7/29/18,0.000549865
8/5/18,0.000305519
8/12/18,0.000342458
8/19/18,0.001052784
8/26/18,0.001086539
9/2/18,0.000850035
9/9/18,0.001512337
9/16/18,0.000975723
9/23/18,0.000528439
9/30/18,0.000633211
10/7/18,0.001107429
10/14/18,0.00059665
10/21/18,0.000517723
10/28/18,0.000648637
11/4/18,0.001166015
11/11/18,0.001101096
11/18/18,0.000803457
11/25/18,0.001293874
12/2/18,0.001454089
12/9/18,0.002716049
12/16/18,0.002533279
12/23/18,0.004524061
12/30/18,0.005731673
1/6/19,0.008482246
1/13/19,0.012056729
1/20/19,0.016350954
1/27/19,0.015897585
2/3/19,0.008788161
2/10/19,0.004461518
2/17/19,0.00460433
2/24/19,0.005268333
3/3/19,0.006347696
3/10/19,0.005352687
3/17/19,0.004695758
3/24/19,0.003718672
3/31/19,0.002965588
4/7/19,0.002130129
4/14/19,0.00145434
4/21/19,0.001606456
4/28/19,0.001786168
5/5/19,0.001673102
5/12/19,0.000940733
5/19/19,0.001813399
5/26/19,0.002709418
6/2/19,0.002270646
6/9/19,0.001585139
6/16/19,0.00280977
6/23/19,0.002581744
6/30/19,0.002567617
7/7/19,0.004288063
7/14/19,0.00425007
7/21/19,0.003281574
7/28/19,0.003263717
8/4/19,0.002182786
8/11/19,0.001508325
8/18/19,0.000962911
8/25/19,0.001062349
9/1/19,0.001101327
9/8/19,0.000754713
9/15/19,0.001185946
9/22/19,0.001067708
9/29/19,0.000685155
10/6/19,0.000703606
10/13/19,0.000481839
10/20/19,0.000424499
10/27/19,0.00048172
11/3/19,0.000524979
11/10/19,0.000488294
11/17/19,0.000352511
11/24/19,0.00035296
12/1/19,0.000442553
12/8/19,0.000381454
12/15/19,0.000839266
12/22/19,0.001293606
12/29/19,0.00187637
